ObjectID,Title,Object Name,Date,Period,Dynasty,Reign,Medium,Dimensions,Culture,Country,Region,City,Subjects,Artist Name,Artist Role(s),Artist Nationality,Artist Date of Birth,Artist Date of Death,Artist Gender,department,classification,artistDisplayBio,isHighlight,isPublicDomain,objectURL,primaryImage,additionalImages_count,objectWikidata_URL,artistWikidata_URL,artistULAN_URL
404780,O the Roast Beef of Old England--The Gate of Calais,Print,"March 6, 1749",,,,Etching and engraving; second state of two,sheet: 15 1/16 x 18 1/8 in. (38.2 x 46 cm),,,,,Food|Architecture|Gates|Towns|Soldiers|Vegetables|Men|Fish|Cauldrons|Baskets|Clergy,William Hogarth,Artist and engraver,British,1697,1764,,Drawings and Prints,Prints,"British, London 1697–1764 London",False,True,https://www.metmuseum.org/art/collection/search/404780,https://images.metmuseum.org/CRDImages/dp/original/DP827047.jpg,0,,https://www.wikidata.org/wiki/Q171344,http://vocab.getty.edu/page/ulan/500004242
403567,"John Nelson Kerins, Catcher, Louisville Colonels, from the Old Judge series (N172) for Old Judge Cigarettes","Baseball card, photograph",1888,,,,Albumen photograph,sheet: 2 11/16 x 1 3/8 in. (6.9 x 3.5 cm),,,,,Men|Portraits|Baseball|Athletes,Goodwin & Company,Publisher,,1850,1950,,Drawings and Prints,Photographs,,False,True,https://www.metmuseum.org/art/collection/search/403567,https://images.metmuseum.org/CRDImages/dp/original/DP845904.jpg,0,,https://www.wikidata.org/wiki/Q5583666,(not assigned)
406302,"Marriage A-la-Mode, Plate IV",Print,"April 1, 1745",,,,Etching and engraving; third state of three,Plate: 15 1/4 x 18 1/2 in. (38.7 x 47 cm),,,,,Men|Women|Party|Drinking,"Simon Francis Ravenet, the elder",Engraver,French,1706,1774,,Drawings and Prints,Prints,"French, Paris 1706–1774 London",False,True,https://www.metmuseum.org/art/collection/search/406302,https://images.metmuseum.org/CRDImages/dp/original/DP827176.jpg,0,,https://www.wikidata.org/wiki/Q1771158,http://vocab.getty.edu/page/ulan/500030474
349689,Copy Book of Embroidery Patterns,Book ; album,ca. 1830–35,,,,Pen and ink and graphite,9 1/4 x 14 3/8 in. (23.5 x 36.5 cm),,,,,,Mary Frances Matilda Wroughton,Artist,British,1780,1880,,Drawings and Prints,Books,"British, 19th century",False,True,https://www.metmuseum.org/art/collection/search/349689,https://images.metmuseum.org/CRDImages/dp/original/DP-22716-001.jpg,0,,,
661590,"Pretiosa Gemma delle virtuose donne, page 29 (recto)",Books Prints Ornament & Architecture,1600,,,,Woodcut,Overall: 4 3/4 x 6 11/16 in. (12 x 17 cm),,,,,Ornament,Isabella Catanea Parasole,Author,Italian,1565,1625,,Drawings and Prints,Books,"Italian, ca. 1565/70–ca. 1625",False,True,https://www.metmuseum.org/art/collection/search/661590,https://images.metmuseum.org/CRDImages/dp/original/DP358414.jpg,0,,https://www.wikidata.org/wiki/Q6078056,(not assigned)
427203,"The Seige of Alessandria Begins, from ""L'Idea di un Principe ed Eroe Cristiano in Francesco I d'Este, di Modena e Reggio Duca VIII [...]""",Print,1659,,,,Etching,Sheet: 4 13/16 × 6 7/16 in. (12.3 × 16.3 cm),,Italy,,Modena,Battles|Soldiers|Horses|Crowd|Flags,Bartolomeo Fenice (Fénis),Artist,Italian,,,,Drawings and Prints,Prints,,False,True,https://www.metmuseum.org/art/collection/search/427203,https://images.metmuseum.org/CRDImages/dp/original/DP830794.jpg,1,,,
420461,"St. Apollonius, April 18th, from ""Les Images De Tous Les Saincts et Saintes de L'Année"" (Images of All of the Saints and Religious Events of the Year)",Print,1636,,,,Etching; second state of two (Lieure),Sheet: 2 9/16 x 1 15/16 in. (6.5 x 5 cm),,,,,Men|Saints,Jacques Callot,Artist,French,1592,1635,,Drawings and Prints,Prints,"French, Nancy 1592–1635 Nancy",False,True,https://www.metmuseum.org/art/collection/search/420461,https://images.metmuseum.org/CRDImages/dp/original/DP890922.jpg,0,,https://www.wikidata.org/wiki/Q460124,http://vocab.getty.edu/page/ulan/500021688
402987,"Hiram ""Hi"" C. Ebright, Catcher, Washington Nationals, from the Old Judge series (N172) for Old Judge Cigarettes","Baseball card, photograph",1889,,,,Albumen photograph,sheet: 2 11/16 x 1 3/8 in. (6.9 x 3.5 cm),,,,,Men|Portraits|Baseball|Athletes,Goodwin & Company,Publisher,,1850,1950,,Drawings and Prints,Photographs,,False,True,https://www.metmuseum.org/art/collection/search/402987,https://images.metmuseum.org/CRDImages/dp/original/DP826902.jpg,0,,https://www.wikidata.org/wiki/Q5583666,(not assigned)
342244,Decoration for a Spandrel in a Cove,Drawing,16th century,,,,"Pen and brown ink, over black chalk",Irregular shape: 4-7/8 x 4-1/2 in.  (12.4 x 11.4 cm),,,,,Ornament,"Anonymous, Italian, 16th century",Artist,Italian,1550,1600,,Drawings and Prints,Drawings,"Italian, active Central Italy, ca. 1550–1580",False,True,https://www.metmuseum.org/art/collection/search/342244,https://images.metmuseum.org/CRDImages/dp/original/DP801896.jpg,0,,,
351126,Trade card for Ladislas Lukassy Kunstfeuerwerker,Print,19th century,,,,Lithograph,Sheet: 18 1/8 × 11 15/16 in. (46 × 30.4 cm),,Austria,,Graz,Men|Dragons,Joseph Franz Kaiser,Lithographer,German,1786,1863,,Drawings and Prints,Prints,"German, 1786–1863?",False,True,https://www.metmuseum.org/art/collection/search/351126,https://images.metmuseum.org/CRDImages/dp/original/DP856830.jpg,0,,,
404864,Allegory of Life,Print,1561,,,,Engraving; second state of six (BLL),Sheet (Trimmed): 14 15/16 × 21 1/4 in. (38 × 54 cm),,,,,Animals|Men|Women|Satyrs,Giorgio Ghisi,Artist,Italian,1515,1582,,Drawings and Prints,Prints,"Italian, Mantua ca. 1520–1582 Mantua",False,True,https://www.metmuseum.org/art/collection/search/404864,https://images.metmuseum.org/CRDImages/dp/original/DP821548.jpg,0,,https://www.wikidata.org/wiki/Q1010603,http://vocab.getty.edu/page/ulan/500005693
820155,"Iphigenia accompanied by Pylades recognises Orestes, whom she is about to sacrifice",Print,1776,,,,Etching,Sheet: 8 1/2 × 11 9/16 in. (21.6 × 29.3 cm),,,,,,Giovanni David,Artist,Italian,1749,1790,,Drawings and Prints,Prints,"Italian, Cabella Ligure 1749–1790 Genoa",False,True,https://www.metmuseum.org/art/collection/search/820155,https://images.metmuseum.org/CRDImages/dp/original/DP888965.jpg,0,,https://www.wikidata.org/wiki/Q3107150,http://vocab.getty.edu/page/ulan/500009295
379342,Sleigh with Rumble Seat #3480,Drawing,1879,,,,Pen and black ink watercolor and gouache with gum arabic,Sheet: 6 7/8 x 9 3/8 in. (17.5 x 23.8 cm),,,,,Sleighs,Brewster & Co.,Manufacturer,American,,,,Drawings and Prints,Drawings,"American, New York",False,True,https://www.metmuseum.org/art/collection/search/379342,https://images.metmuseum.org/CRDImages/dp/original/DP882637.jpg,0,,,
361228,Woman with large circular fur hat and lace ruff,Print,1645,,,,Etching; only state,"Sheet: 3 9/16 × 3 9/16 in. (9.1 × 9.1 cm)
cut to roundel with surface nicks into image",,,,,Portraits|Women,Wenceslaus Hollar,Artist,Bohemian,1607,1677,,Drawings and Prints,Prints,"Bohemian, Prague 1607–1677 London",False,True,https://www.metmuseum.org/art/collection/search/361228,https://images.metmuseum.org/CRDImages/dp/original/DP823891.jpg,0,,https://www.wikidata.org/wiki/Q448555,http://vocab.getty.edu/page/ulan/500028368
715730,"Card 35, Limenitis Sybilla, from the Butterflies series (N183) issued by Wm. S. Kimball & Co.",Print,1888,,,,Commercial color lithograph,Sheet: 2 11/16 × 1 1/2 in. (6.9 × 3.8 cm),,,,,Women|Butterflies,William S. Kimball & Company,Publisher,,,,,Drawings and Prints,Prints,,False,True,https://www.metmuseum.org/art/collection/search/715730,https://images.metmuseum.org/CRDImages/dp/original/DPB870739.jpg,0,,,
392212,"The Bathers (from ""Harper's Weekly,"" Vol. XVII)",Print,"August 2, 1873",,,,Wood engraving,"image: 13 3/4 x 9 1/4 in. (34.9 x 23.5 cm)
sheet: 15 15/16 x 10 7/8 in. (40.5 x 27.6 cm)",,,,,Girls|Beaches|Boats,Winslow Homer,Designer,American,1836,1910,,Drawings and Prints,Prints,"American, Boston, Massachusetts 1836–1910 Prouts Neck, Maine",False,True,https://www.metmuseum.org/art/collection/search/392212,https://images.metmuseum.org/CRDImages/dp/original/DP875347.jpg,0,,https://www.wikidata.org/wiki/Q344838,http://vocab.getty.edu/page/ulan/500019202
415368,"Card 316, from the Actors and Actresses series (N45, Type 5) for Virginia Brights Cigarettes",Photograph,ca. 1888,,,,Albumen photograph,Sheet: 2 3/4 x 1 3/8 in. (7 x 3.5 cm),,,,,Portraits|Women|Actresses,Allen & Ginter,Publisher,American,,,,Drawings and Prints,Photographs,"American, Richmond, Virginia",False,True,https://www.metmuseum.org/art/collection/search/415368,https://images.metmuseum.org/CRDImages/dp/original/DP830621.jpg,0,,https://www.wikidata.org/wiki/Q4731490,(not assigned)
423857,"Banjo, from the Musical Instruments series (N82) for Duke brand cigarettes",Print,1888,,,,Commercial color lithograph,Sheet: 2 3/4 x 1 1/2 in. (7 x 3.8 cm),,,,,Musical Instruments|Women|Musicians,"W. Duke, Sons & Co.",Publisher,American,1870,1920,,Drawings and Prints,Prints,"New York and Durham, N.C.",False,True,https://www.metmuseum.org/art/collection/search/423857,https://images.metmuseum.org/CRDImages/dp/original/DPB883184.jpg,0,,https://www.wikidata.org/wiki/Q66734555,(not assigned)
381425,"Plate 80 from ""The Disasters of War"" (Los Desastres de la Guerra): Will she rise again? (Si resucitará?)",Print,1814–15 (published 1863),,,,"Etching, burnisher","Plate: 6 7/8 × 8 11/16 in. (17.5 × 22 cm)
Sheet: 9 7/8 × 13 9/16 in. (25.1 × 34.5 cm)",,,,,Human Figures,Goya (Francisco de Goya y Lucientes),Artist,Spanish,1746,1828,,Drawings and Prints,Prints,"Spanish, Fuendetodos 1746–1828 Bordeaux",False,True,https://www.metmuseum.org/art/collection/search/381425,https://images.metmuseum.org/CRDImages/dp/original/DP817476.jpg,0,,https://www.wikidata.org/wiki/Q5432,http://vocab.getty.edu/page/ulan/500118936
